Time (sec),AC Compressor Sw (on/off),AF Correction 1 (%),AF Correction 3 (%),AF Learning 1 (%),AF Learning 3 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (deg),AVCS In Left (deg),Accel Position (%),Baro Pressure (psi),Battery Volts (V),Boost (psi),Boost Extended (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Calculated Load Ext (g/rev),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),EGR Commanded (steps),Feedback Knock (deg),Fine Knock Learn (deg),Fuel Cut (cylinders),Fuel Pressure (psi),Fuel Pressure Target (psi),Gear Position (gear),Ign Comp IAT (deg),Ignition Timing (deg),Inj Duty Cycle (%),Inj PW (ms),Inj Timing H SOI (deg),Intake Temp (F),Intake Temp Manifold (F),MAF Corr Final (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TD Integral (%),TD Proportional (%),TGV Map Ratio (mult),Target Boost Final Rel Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),"AP Info:[AP3-SUB-004 v1.7.5.0-25420][2021 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage1 91 v400.ptm - Realtime: Stage1 91 v400.ptm]"
0.000,on,0.00,0.00,3.91,-1.56,14.27,0,1,0.0,14.50,14.08,-11.41,-11.42,14.66,0.17,0.18,14.99,192,0.875,0,0.00,0.00,1,412,438,3,-1.5,15.50,1.72,0.806,180,100,113,7.53,1.30,3.10,202,2558,0.00,0.00,0.000,0.00,0.000,-11.42,7.5,35,0.00,0
0.061,on,0.00,0.00,3.91,-1.56,14.42,0,1,0.0,14.50,14.16,-11.53,-11.46,14.66,0.17,0.18,14.99,192,0.875,0,0.00,0.00,1,463,438,3,-1.5,15.50,1.63,0.765,180,100,113,7.51,1.32,2.98,202,2558,0.00,0.05,0.000,0.00,0.000,-11.42,7.5,35,0.00,0
0.126,on,0.00,0.00,3.91,-1.56,14.54,0,0,0.0,14.50,14.00,-11.53,-11.48,14.66,0.17,0.18,14.99,192,0.875,0,0.00,0.00,1,451,438,3,-1.5,15.50,1.59,0.746,180,100,113,7.51,1.32,2.97,202,2563,0.00,0.06,0.000,0.00,0.000,-11.41,7.5,35,0.00,0
0.202,on,0.00,0.00,3.91,-1.56,14.69,0,0,0.0,14.50,14.16,-11.53,-11.48,14.66,0.17,0.18,14.99,192,0.875,0,0.00,0.00,1,473,438,3,-1.5,15.50,1.58,0.739,180,100,113,7.50,1.32,2.97,202,2561,0.00,0.07,0.000,0.00,0.000,-11.42,7.5,35,0.00,0
0.275,on,0.00,0.00,3.91,-1.56,14.98,0,-1,0.0,14.50,14.00,-11.52,-11.48,14.66,0.17,0.18,14.99,192,0.875,0,0.00,0.00,1,455,438,3,-1.5,15.50,1.57,0.736,180,100,113,7.52,1.32,2.98,202,2567,0.00,0.06,0.000,0.00,0.000,-11.41,7.5,35,0.00,0
0.351,on,0.00,0.00,3.91,-1.56,15.31,0,-1,0.0,14.50,14.08,-11.55,-11.49,14.66,0.17,0.18,14.99,192,0.875,0,0.00,0.00,2,467,438,3,-1.5,15.50,1.57,0.736,180,100,113,7.53,1.32,2.95,202,2568,0.00,0.08,0.000,0.00,0.000,-11.41,7.5,35,0.00,0
0.406,on,0.00,0.00,3.91,-1.56,15.34,0,-2,0.0,14.50,14.08,-11.50,-11.46,14.66,0.17,0.18,14.99,192,0.875,0,0.00,0.00,2,477,438,3,-1.5,15.50,1.57,0.736,180,100,113,7.52,1.32,3.00,202,2558,0.00,0.04,0.000,0.00,0.000,-11.42,7.5,35,0.00,0
0.476,on,0.00,0.00,3.91,-1.56,15.78,0,-2,0.0,14.50,13.92,-11.48,-11.44,14.66,0.17,0.18,14.99,192,0.875,0,0.00,0.00,2,484,438,3,-1.5,15.50,1.58,0.736,180,100,113,7.56,1.32,3.02,202,2578,0.00,0.02,0.000,0.00,0.000,-11.41,7.5,35,0.00,0
0.559,on,0.00,0.00,3.91,-1.56,16.77,0,-3,0.0,14.50,14.00,-11.47,-11.42,14.66,0.17,0.18,14.99,192,0.875,0,0.00,0.00,3,483,438,3,-1.5,15.50,1.57,0.736,180,100,113,7.53,1.32,3.03,202,2560,0.00,0.00,0.000,0.00,0.000,-11.41,7.5,35,0.00,0
0.615,on,0.00,0.00,3.91,-1.56,17.26,0,-3,0.0,14.50,14.16,-11.43,-11.39,14.66,0.17,0.18,14.99,192,0.875,0,0.00,0.00,3,517,438,3,-1.5,15.50,1.57,0.736,180,100,113,7.53,1.32,3.08,202,2556,0.00,-0.03,0.000,0.00,0.000,-11.42,7.5,35,0.00,0
